place_id,name,lat,lng,vicinity
ChIJq1UbUTw3Yg0RrGt93WB150g,Station Vibes,38.3436418,-0.4962618,"Calle Alcalde Ramón Hernández, 1, Alicante (Alacant)"
ChIJE5BNjgY5Yg0RLsOS8_KSNIs,Viejo Pau,38.38264749999999,-0.4158192000000001,"Avenida Artista Remigio Soler López, 4, Alicante (Alacant)"
ChIJCx57MMg2Yg0Rw4vy4nhUTGc,Supermercado Dialprix,38.3912796,-0.5058703999999999,"Calle Río Turia, 23, San Vicente del Raspeig"
ChIJA6T2VgA3Yg0RYApOkHvRuwY,Mexikanisch Essen,38.3475328,-0.4845483,"Calle General Primo de Rivera, 12, Alicante (Alacant)"
ChIJiwET2dYFYg0Ris3UiGHM7zI,la tierra prometida,38.35163410000001,-0.4832166,"Plaza de la Misericordia, 14, Alicante (Alacant)"
ChIJhcYHW3c5Yg0RK6b18GUXEEg,Bakano Gastro Bar 🫒,38.39810999999999,-0.4324425,"Avinguda de la Diagonal, 5, local 3, Sant Joan d'Alacant"
ChIJs642xP02Yg0R9SrVfdVrz78,Kebab Gran Via,38.362992,-0.4907237000000001,"Gran Vía, 10, Alicante (Alacant)"
ChIJq6paW5U7Yg0RbPiTYg8BNZU,Restaurante LA FREIDURÍA ANDALUZA,38.42206929999999,-0.3929811999999999,"16 Avinguda d'Alcoi Loc, El Campello"
ChIJ1wvbMQU3Yg0REkZMpWi1J2s,Boteco dos brazucas,38.36011209999999,-0.4960644,"Calle Teulada, 23, Alicante (Alacant)"
ChIJdzff2bE2Yg0R9LnALuw3f9s,"Pepito Patatón: Restaurante, comida a domicilio en San Vicente del Raspeig",38.39242339999999,-0.5160198,"Calle Argentina, 3, San Vicente del Raspeig"
ChIJ5ccMFw83Yg0RjTc2N2wDoi8,Daro Kebab,38.34150959999999,-0.4890798,"Carrer Italia, 8, Alacant"
ChIJ7ZTjQAM5Yg0RLEYfLau7t2I,SOHO Bar Restaurante,38.3849207,-0.4175221,"Maestro José Garberí Serrano, 15, local 7, Alicante (Alacant)"
